연도,리그,지역,게임횟수,홈게임횟수,승리횟수,패배횟수,득점횟수,타석횟수,안타횟수,2루타횟수,3루타횟수,홈런횟수,타자_볼넷횟수,타자_삼진횟수,도루성공횟수,도루실패횟수,총_실점수,자책점수,평균자책점수,완투_횟수,완봉_횟수,세이브_횟수,소화한 아웃 수,피안타_횟수,피홈런_횟수,볼넷허용_횟수,투수_삼진횟수,실책횟수,병살횟수,수비율,승률,포스트시즌_진출여부,도루시도횟수,도루실패율
1911,NL,X,109,58,64,43,529,3590,934,152,70,37,409,431,149,126,424,318,2.9,59,8,11,2963,889,18,367,407,182,79,0.96,0.5974025974025974,0,276,0.4594137744291593
1911,NL,X,111,57,49,58,477,3703,965,125,73,14,404,415,202,171,494,361,3.26,53,2,8,2992,986,25,333,389,207,75,0.95,0.45751633986928103,0,373,0.4594137744291593
1911,AL,X,109,53,56,51,483,3724,1050,166,56,14,247,419,146,123,498,363,3.36,65,4,4,2919,967,11,386,472,211,75,0.95,0.5228758169934641,0,270,0.4594137744291593
1911,AL,X,107,53,62,45,581,3705,1080,161,67,21,329,419,193,163,543,402,3.73,75,5,2,2912,1059,19,322,376,218,54,0.95,0.577922077922078,0,357,0.4594137744291593
1911,NL,X,107,52,69,37,529,3504,979,157,72,28,371,354,242,205,379,286,2.69,66,13,9,2872,886,23,258,539,175,60,0.96,0.6470588235294118,1,448,0.4594137744291593
1911,AL,X,107,53,53,53,478,3536,961,133,67,17,345,419,188,159,506,374,3.54,63,3,2,2856,982,18,284,466,224,69,0.94,0.5,0,347,0.4594137744291593
1911,AL,X,106,52,70,35,602,3639,1078,165,65,24,296,419,158,134,420,322,3.01,67,9,9,2887,940,11,340,517,159,70,0.96,0.6688741721854304,1,292,0.4594137744291593
1911,NL,X,107,53,55,51,460,3530,914,149,39,42,343,411,107,91,468,352,3.3,62,14,7,2883,899,30,418,487,161,79,0.96,0.5197368421052632,0,198,0.4594137744291593
1911,NL,X,108,54,59,48,520,3595,941,144,74,34,367,408,112,94,389,304,2.84,63,9,7,2898,874,25,262,423,161,91,0.96,0.551948051948052,0,206,0.4594137744291593
1911,AL,X,106,54,31,74,396,3497,834,130,44,11,322,419,87,74,568,399,3.86,64,5,0,2797,1025,19,324,268,250,72,0.94,0.29605263157894735,0,161,0.4594137744291593
1911,NL,X,110,55,52,51,469,3592,906,139,60,18,414,454,122,103,521,401,3.68,61,4,7,2944,907,27,490,392,183,74,0.95,0.5033557046979866,0,226,0.4594137744291593
1911,AL,X,107,53,44,62,437,3545,915,111,37,11,326,419,150,127,536,370,3.52,74,9,2,2841,1029,27,287,439,214,62,0.95,0.4155844155844156,0,277,0.4594137744291593
1912,AL,X,107,54,73,32,559,3549,982,188,58,20,395,404,129,109,380,292,2.76,75,12,4,2860,870,12,269,498,186,61,0.95,0.6907894736842105,1,239,0.4594137744291593
1912,NL,X,107,53,40,66,455,3598,963,154,51,22,343,408,125,106,527,384,3.64,49,7,5,2849,979,31,357,387,178,67,0.95,0.3790849673202614,0,231,0.4594137744291593
1912,NL,X,108,55,36,70,485,3752,1025,158,47,24,317,482,95,81,602,450,4.17,61,3,3,2919,1080,30,364,379,206,90,0.95,0.33986928104575165,0,177,0.4594137744291593
1912,AL,X,110,54,54,53,447,3627,924,121,56,11,296,404,143,121,453,336,3.06,59,9,11,2967,978,18,298,488,202,71,0.95,0.5064935064935064,0,265,0.4594137744291593
1912,NL,X,106,54,63,41,529,3533,978,171,62,30,392,430,114,97,467,361,3.42,56,10,6,2851,914,23,345,387,174,87,0.96,0.6066666666666667,0,212,0.4594137744291593
1912,NL,X,108,53,52,54,459,3580,916,128,62,14,335,344,173,147,505,366,3.42,60,9,7,2891,1018,19,316,392,172,71,0.96,0.49019607843137253,0,320,0.4594137744291593
1912,AL,X,108,53,52,54,473,3593,982,153,53,8,284,404,135,114,476,347,3.3,65,4,4,2839,956,10,366,435,200,86,0.95,0.49019607843137253,0,250,0.4594137744291593
1912,AL,X,107,53,48,58,503,3600,963,132,60,13,371,404,189,160,543,401,3.77,74,4,3,2870,1006,11,364,358,230,63,0.95,0.45098039215686275,0,349,0.4594137744291593
1912,NL,X,107,53,72,33,576,3546,1015,161,62,32,359,347,223,189,399,274,2.58,65,5,10,2874,946,25,236,456,196,86,0.95,0.6821192052980133,1,413,0.4594137744291593
1912,AL,X,107,53,35,71,441,3564,923,117,55,12,324,404,172,146,589,429,4.13,73,3,2,2803,1013,19,305,445,263,53,0.94,0.32894736842105265,0,319,0.4594137744291593
1912,AL,X,107,53,62,43,545,3577,1009,142,75,15,339,404,180,153,460,350,3.32,66,7,6,2849,891,8,362,420,184,80,0.95,0.5921052631578947,0,333,0.4594137744291593
1912,NL,X,106,52,51,55,468,3553,947,170,47,30,324,430,111,94,481,342,3.25,56,7,6,2845,966,30,360,431,161,68,0.96,0.48026315789473684,0,205,0.4594137744291593
1912,NL,X,106,52,65,40,525,3676,1045,155,90,27,294,359,123,105,395,307,2.85,65,12,4,2908,887,19,347,464,118,87,0.97,0.6158940397350994,0,228,0.4594137744291593
